,Name,Year,Location,Country,Status,Type,city,state,state_names,avg_temp_f,avg_temp_c
0,Abernethy Bridge,1970,Oregon City (OR),USA,in use,composite,Oregon City,OR,Oregon,54.7,12.6
1,Allegheny Station Viaduct,2012,Pittsburgh (PA),USA,in use,composite,Pittsburgh,PA,Pennsylvania,51.4,10.8
2,Antioch Bridge,1978,- Antioch (CA),USA,in use,composite,Antioch,CA,California,60.7,15.9
3,Bagley Street Pedestrian Bridge,2010,Detroit (MI),USA,in use,composite,Detroit,MI,Michigan,50.3,10.2
4,Bear Creek Bridge,2011,Ouray County (CO),USA,in use,composite,Ouray County,CO,Colorado,44.3,6.8
5,Bill Emerson Memorial Bridge,2003,Cape Girardeau (MO),USA,in use,composite,Cape Girardeau,MO,Missouri,56.9,13.8
6,Blackwell Interchange Bridge,1967,Conway County (AR),USA,in use,composite,Conway County,AR,Arkansas,60.5,15.8
7,BP Pedestrian Bridge,2004,Chicago (IL),USA,in use,composite,Chicago,IL,Illinois,49.9,9.9
8,Cal Park Hill Pathway Bridge,2016,Larkspur (CA),USA,in use,composite,Larkspur,CA,California,59.4,15.2
9,Captain John Bissell Memorial Bridge,1957,Windsor (CT),USA,in use,composite,Windsor,CT,Connecticut,49.0,9.4
10,Chaska Bridge,2007,Chaska (MN),USA,in use,composite,Chaska,MN,Minnesota,45.4,7.4
11,Chihuly Bridge of Glass,2002,Tacoma (WA),USA,in use,composite,Tacoma,WA,Washington,53.5,11.9
12,Delta Ponds Pedestrian Bridge,2010,Eugene (OR),USA,in use,composite,Eugene,OR,Oregon,52.5,11.4
13,Dexter Coffin Jr. Bridge,1959,- Windsor Locks (CT),USA,in use,composite,Windsor Locks,CT,Connecticut,48.0,8.9
14,Dublin Link,2020,Dublin (OH),USA,in use,composite,Dublin,OH,Ohio,52.1,11.2
15,East Fork White River Bridge,2002,Columbus (IN),USA,in use,composite,Columbus,IN,Indiana,53.5,11.9
16,East Huntington Bridge,1985,Huntington (WV),USA,in use,composite,Huntington,WV,West Virginia,55.3,12.9
17,Father Louis Hennepin Bridge,1990,Minneapolis (MN),USA,in use,composite,Minneapolis,MN,Minnesota,46.3,7.9
18,Fisher's Bridge,1996,Mount Pleasant (MI),USA,in use,composite,Mount Pleasant,MI,Michigan,47.4,8.6
19,Fort Duquene Bridge North Approach Viaducts,1970,Pittsburgh (PA),USA,in use,composite,Pittsburgh,PA,Pennsylvania,51.4,10.8
20,Governor Mario M. Cuomo Bridge,2018,- Nyack (NY),USA,in use,composite,Nyack,NY,New York,45.4,7.4
21,High Road Bridge,2008,Lockport Township (IL),USA,in use,composite,Lockport Township,IL,Illinois,50.3,10.2
22,Huron Parkway Bridge,1968,Ann Arbor (MI),USA,in use,composite,Ann Arbor,MI,Michigan,48.8,9.3
23,I-94 Saint Croix River Bridge,1995,Hudson (WI),USA,in use,composite,Hudson,WI,Wisconsin,43.1,6.2
24,I-95 Androscoggin River Bridge,1955,Lewiston (ME),USA,in use,composite,Lewiston,ME,Maine,45.4,7.4
25,Igor I. Sikorsky Memorial Bridge,2003,Stratford (CT),USA,in use,composite,Stratford,CT,Connecticut,52.0,11.1
26,Interstate 95 Brandywine Creek Bridge,1968,Wilmington (DE),USA,in use,composite,Wilmington,DE,Delaware,54.4,12.4
27,James D. Pfluger Pedestrian Bridge,2001,Austin (TX),USA,in use,composite,Austin,TX,Texas,68.5,20.3
28,John Greenleaf Whittier Bridge,2018,- Amesbury (MA),USA,in use,composite,Amesbury,MA,Massachusetts,47.9,8.8
29,John V. Tunney Bridge,2015,Los Angeles (CA),USA,in use,composite,Los Angeles,CA,California,64.9,18.3
30,Joshua Chamberlain Bridge,1959,Bangor (ME),USA,in use,composite,Bangor,ME,Maine,44.3,6.8
31,Kellog Central Business District Viaduct,1996,Wichita (KS),USA,in use,composite,Wichita,KS,Kansas,57.0,13.9
32,Leonard P. Zakim Bunker Hill Memorial Bridge,2003,Boston (MA),USA,in use,composite,Boston,MA,Massachusetts,51.3,10.7
33,Leverett Circle Connector Bridge,1999,Boston (MA),USA,in use,composite,Boston,MA,Massachusetts,51.3,10.7
34,Liberty Bridge,2004,Greenville (SC),USA,in use,composite,Greenville,SC,South Carolina,60.3,15.7
35,Lloyd Spriggle Memorial Bridge,1960,Red Wing (MN),USA,in use,composite,Red Wing,MN,Minnesota,37.3,2.9
36,Mifflinville Bridge,1992,Mifflinville (PA),USA,in use,composite,Mifflinville,PA,Pennsylvania,48.8,9.3
37,Moses Wheeler Bridge,1958,- Milford (CT),USA,demolished,composite,Milford,CT,Connecticut,44.5,6.9
38,Moses Wheeler Bridge,2016,- Milford (CT),USA,in use,composite,Milford,CT,Connecticut,44.5,6.9
39,Mud Fork River Bridge,1996,Logan (WV),USA,in use,composite,Logan,WV,West Virginia,51.8,11.0
40,New Hope-Lambertville Route 202 Toll Bridge,1971,Lambertville (NJ),USA,in use,composite,Lambertville,NJ,New Jersey,53.0,11.7
41,O'Connell Bridge,1971,Sitka (AK),USA,in use,composite,Sitka,AK,Alaska,43.0,6.1
42,Old Chaska Bridge,1960,Chaska (MN),USA,demolished,composite,Chaska,MN,Minnesota,45.4,7.4
43,Patton Bridge,1950,Auburn (WA),USA,in use,composite,Auburn,WA,Washington,48.3,9.1
44,Pioneer Memorial Bridge,1967,Sacramento (CA),USA,in use,composite,Sacramento,CA,California,61.0,16.1
45,Portland Street Overpass,1944,Saint Johnsbury (VT),USA,in use,composite,Saint Johnsbury,VT,Vermont,42.0,5.6
46,Regional Transportation District Footbridge,2010,Broomfield (CO),USA,in use,composite,Broomfield,CO,Colorado,52.4,11.3
47,Roscoe State Aid Bridge,1935,Roscoe (NE),USA,out of service,composite,Roscoe,NE,Nebraska,48.8,9.3
48,Sacramento River Bridge (I-5),1970,- Sacramento County (CA),USA,in use,composite,Sacramento County,CA,California,61.0,16.1
49,San Diego-Coronado Bay Bridge,1969,San Diego (CA),USA,in use,composite,San Diego,CA,California,63.6,17.6
50,San Martin Drive Bridge,2005,Baltimore (MD),USA,in use,composite,Baltimore,MD,Maryland,55.1,12.8
51,Spencer Bridge,2006,Klamath County (OR),USA,in use,composite,Klamath County,OR,Oregon,48.4,9.1
52,Thompson's Bridge,1935,Wilmington (DE),USA,in use,composite,Wilmington,DE,Delaware,54.4,12.4
53,Trenton-Morrisville Route 1 Toll Bridge,1952,Trenton (NJ),USA,in use,composite,Trenton,NJ,New Jersey,54.0,12.2
54,United States Naval Academy Bridge,1995,Annapolis (MD),USA,in use,composite,Annapolis,MD,Maryland,56.5,13.6
55,Vermillion-Newcastle Bridge,2001,Vermillion (SD),USA,in use,composite,Vermillion,SD,South Dakota,48.0,8.9
56,Veterans Memorial Bridge,1990,Weirton (WV),USA,in use,composite,Weirton,WV,West Virginia,52.8,11.6
57,Veterans Memorial Bridge,1997,Beverly (MA),USA,in use,composite,Beverly,MA,Massachusetts,47.9,8.8
58,Veterans Memorial Bridge,1981,Ottawa (IL),USA,in use,composite,Ottawa,IL,Illinois,50.7,10.4
59,Whites Hill Sidehill Viaduct,2002,Marin County (CA),USA,in use,composite,Marin County,CA,California,59.4,15.2
60,William H. Harsha Bridge,2000,Maysville (KY),USA,in use,composite,Maysville,KY,Kentucky,55.6,13.1
61,Forrest & Maxie Preston Memorial Suspension Bridge,1999,River (KY),USA,in use,composite,River,KY,Kentucky,55.6,13.1
62,Pine Barrens Bridge,2002,Wharton State Forest (NJ),USA,in use,composite,Wharton State Forest,NJ,New Jersey,50.6,10.3
63,15th Street Overpass (York Subway),1938,York (NE),USA,in use,concrete,York,NE,Nebraska,50.4,10.2
64,17th Street Causeway Bridge,2002,Fort Lauderdale (FL),USA,in use,concrete,Fort Lauderdale,FL,Florida,76.1,24.5
65,21st Street Bridge,1932,Tulsa (OK),USA,demolished,concrete,Tulsa,OK,Oklahoma,60.8,16.0
66,26th Street Los Angeles River Bridge,1926,Vernon (CA),USA,in use,concrete,Vernon,CA,California,59.4,15.2
67,Acosta Bridge,1994,Jacksonville (FL),USA,in use,concrete,Jacksonville,FL,Florida,68.6,20.3
68,Adams Avenue Bridge,1970,San Diego (CA),USA,in use,concrete,San Diego,CA,California,63.6,17.6
69,Adkisson Bridge,1925,Wasco County (OR),USA,in use,concrete,Wasco County,OR,Oregon,50.6,10.3
70,Alameda Street Bridge,2001,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
71,Alexander Avenue Bridge,1925,Larkspur (CA),USA,in use,concrete,Larkspur,CA,California,59.4,15.2
72,Allegheny River Turnpike Bridge,2010,Harmar (PA),USA,in use,concrete,Harmar,PA,Pennsylvania,48.8,9.3
73,Alsea Bay Bridge,1991,Waldport (OR),USA,in use,concrete,Waldport,OR,Oregon,51.5,10.8
74,Alsea Bay Bridge,1936,Waldport (OR),USA,demolished,concrete,Waldport,OR,Oregon,51.5,10.8
75,Alvord Lake Bridge,1889,San Francisco (CA),USA,in use,concrete,San Francisco,CA,California,57.3,14.1
76,American Legion Memorial Bridge,1930,Traverse City (MI),USA,in use,concrete,Traverse City,MI,Michigan,45.4,7.4
77,Andrew J. Sullivan Memorial Bridge,1928,Williamsburg (KY),USA,in use,concrete,Williamsburg,KY,Kentucky,55.9,13.3
78,Angeles Crest Highway La Canada Canyon Bridge,1930,Los Angeles County (CA),USA,in use,concrete,Los Angeles County,CA,California,59.4,15.2
79,Angels Creek Bridge,1909,Murphys (CA),USA,in use,concrete,Murphys,CA,California,49.4,9.7
80,Ann W. Richards Congress Avenue Bridge,1910,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
81,Anoka-Champlin Bridge,1929,Anoka (MN),USA,in use,concrete,Anoka,MN,Minnesota,46.0,7.8
82,Arlington Memorial Bridge,1932,Washington,USA,in use,concrete,Washingto,WA,Washington,48.3,9.1
83,Arroyo Quemado Bridge,1916,Santa Barbara (CA),USA,in use,concrete,Santa Barbara,CA,California,57.7,14.3
84,Arsenal Street Bridge,1925,- Watertown (MA),USA,in use,concrete,Watertown,MA,Massachusetts,47.9,8.8
85,Arthur J. DiTommaso Memorial Bridge,2003,Fitchburg (MA),USA,in use,concrete,Fitchburg,MA,Massachusetts,47.9,8.8
86,Asaga Strait Bridge,1979,Ofu Island (AS),USA,in use,concrete,Ofu Island,AS,American Samoa,81.2,27.3
87,Ash Avenue Bridge,1913,Tempe (AZ),USA,demolished,concrete,Tempe,AZ,Arizona,68.8,20.4
88,Ashtabula Viaduct,1928,Ashtabula (OH),USA,demolished,concrete,Ashtabula,OH,Ohio,49.2,9.6
89,Atlantic Boulevard Bridge,1931,Vernon (CA),USA,in use,concrete,Vernon,CA,California,59.4,15.2
90,Avenue 26 Bridge,1939,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
91,Avenue 60 Bridge,1909,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
92,Avis Overhead Bridge,1929,Hinton (WV),USA,out of service,concrete,Hinton,WV,West Virginia,53.5,11.9
93,Bailey Island Bridge,1928,Harpswell (ME),USA,in use,concrete,Harpswell,ME,Maine,41.0,5.0
94,Barton Creek Boulevard Bridge,1987,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
95,Barton Springs Bridge,1926,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
96,Bay Saint Louis Bridge,2007,Hancock County (MS),USA,in use,concrete,Hancock County,MS,Mississippi,63.4,17.4
97,Bayview Bridge,1986,Quincy (IL),USA,in use,concrete,Quincy,IL,Illinois,52.7,11.5
98,Belle Isle Pedestrian Bridge,1991,Richmond (VA),USA,in use,concrete,Richmond,VA,Virginia,58.9,14.9
99,Belleview Bridge,1915,Belleair (FL),USA,in use,concrete,Belleair,FL,Florida,70.7,21.5
100,Belton Bridge,1920,Flathead County (MT),USA,out of service,concrete,Flathead County,MT,Montana,42.7,5.9
101,Benicia Martinez Bridge,2007,Martinez (CA),USA,in use,concrete,Martinez,CA,California,59.2,15.1
102,Bennington Bridge,1928,Ottawa County (KS),USA,demolished,concrete,Ottawa County,KS,Kansas,55.0,12.8
103,Benson Street Bridge,1910,Hamilton County (OH),USA,in use,concrete,Hamilton County,OH,Ohio,39.3,4.1
104,Berkeley I-80 Pedestrian Overcrossing,2002,Berkeley (CA),USA,in use,concrete,Berkeley,CA,California,57.1,13.9
105,Betts Bridge,2006,Salmon Creek (WA),USA,in use,concrete,Salmon Creek,WA,Washington,48.3,9.1
106,Big Blue River Bridge,1918,Grafton (NE),USA,in use,concrete,Grafton,NE,Nebraska,48.8,9.3
107,Big Chickies Bridge,1916,Lancaster Junction (PA),USA,demolished,concrete,Lancaster Junction,PA,Pennsylvania,52.2,11.2
108,Big Conestoga Creek Bridge No. 12,1917,Brownstown (PA),USA,in use,concrete,Brownstown,PA,Pennsylvania,50.0,10.0
109,Big Creek Bridge,1937,Lucia (CA),USA,in use,concrete,Lucia,CA,California,59.4,15.2
110,Big Creek Bridge,1931,Lane County (OR),USA,in use,concrete,Lane County,OR,Oregon,48.4,9.1
111,Big Soldier Creek Bridge,1922,Grove (KS),USA,in use,concrete,Grove,KS,Kansas,54.3,12.4
112,Bixby Creek Bridge,1933,Carmel-by-the-Sea (CA),USA,in use,concrete,Carmel-by-the-Sea,CA,California,59.4,15.2
113,BNSF 6th Street Viaduct,1907,Vancouver (WA),USA,in use,concrete,Vancouver,WA,Washington,52.4,11.3
114,Boatlanding Bridge,1911,Jamestown (NY),USA,demolished,concrete,Jamestown,NY,New York,48.0,8.9
115,Bob Michel Bridge,1993,Peoria (IL),USA,in use,concrete,Peoria,IL,Illinois,51.9,11.1
116,Brecksville-Northfield High Level Bridge,1931,Brecksville (OH),USA,in use,concrete,Brecksville,OH,Ohio,50.7,10.4
117,Bridge of Flowers,1908,Shelburne Falls (MA),USA,in use,concrete,Shelburne Falls,MA,Massachusetts,46.1,7.8
118,Bridge of the Hidalgos,1920,Santa Fe (NM),USA,in use,concrete,Santa Fe,NM,New Mexico,51.3,10.7
119,Bridge Street Bridge,1904,Grand Rapids (MI),USA,demolished,concrete,Grand Rapids,MI,Michigan,49.1,9.5
120,Bridge Street Bridge,1910,Winnemucca (NV),USA,in use,concrete,Winnemucca,NV,Nevada,49.2,9.6
121,Broad Avenue Memorial Bridge,2013,Albany (GA),USA,in use,concrete,Albany,GA,Georgia,66.9,19.4
122,Broad Avenue Memorial Bridge,1920,Albany (GA),USA,demolished,concrete,Albany,GA,Georgia,66.9,19.4
123,Broad Street Bridge,1918,Mason (TX),USA,in use,concrete,Mason,TX,Texas,64.6,18.1
124,Broadway Bridge,2001,Daytona Beach (FL),USA,in use,concrete,Daytona Beach,FL,Florida,70.9,21.6
125,Brookridge Drive Bridge,1934,Atlanta (GA),USA,in use,concrete,Atlanta,GA,Georgia,62.6,17.0
126,Brush Creek Bridge,2000,Port Orford (OR),USA,in use,concrete,Port Orford,OR,Oregon,53.0,11.7
127,Buck Run Creek Bridge,1925,Garland (KS),USA,in use,concrete,Garland,KS,Kansas,54.3,12.4
128,Buckeye Creek Bridge,1925,Yolo County (CA),USA,in use,concrete,Yolo County,CA,California,53.0,11.7
129,Bucks Bar Road Bridge,1940,El Dorado County (CA),USA,in use,concrete,El Dorado County,CA,California,59.4,15.2
130,Bunton Branch Bridge,1915,Kyle (TX),USA,in use,concrete,Kyle,TX,Texas,64.8,18.2
131,Butte Creek Bridge,1940,Glenn County (CA),USA,in use,concrete,Glenn County,CA,California,59.4,15.2
132,Cabrillo Bridge,1915,San Diego (CA),USA,in use,concrete,San Diego,CA,California,63.6,17.6
133,Cache Creek Bridge I,1930,Yolo County (CA),USA,in use,concrete,Yolo County,CA,California,53.0,11.7
134,Caguanas River Bridge,1991,Utuado (US-PR),USA,in use,concrete,Utuado,US-PR,Puerto Rico,75.4,24.1
135,Campbell's Bridge,1907,Milford Square (PA),USA,demolished,concrete,Milford Square,PA,Pennsylvania,48.8,9.3
136,Canyon Bridge,1895,Teton County (WY),USA,demolished,concrete,Teton County,WY,Wyoming,42.0,5.6
137,Canyon Bridge,1915,Park County (WY),USA,in use,concrete,Park County,WY,Wyoming,42.0,5.6
138,Canyon Diablo Bridge,1915,Winona (AZ),USA,in use,concrete,Winona,AZ,Arizona,60.3,15.7
139,Cape Creek Bridge,1932,Lane County (OR),USA,in use,concrete,Lane County,OR,Oregon,48.4,9.1
140,Capitol Boulevard Bridge,1936,Tumwater (WA),USA,in use,concrete,Tumwater,WA,Washington,48.0,8.9
141,Cappelen Memorial Bridge,1923,Minneapolis (MN),USA,in use,concrete,Minneapolis,MN,Minnesota,46.3,7.9
142,Carns State Aid Bridge,1913,Bassett (NE),USA,in use,concrete,Bassett,NE,Nebraska,48.8,9.3
143,Caveman Bridge,1931,Grants Pass (OR),USA,in use,concrete,Grants Pass,OR,Oregon,54.2,12.3
144,Cedar Avenue Bridge,1929,Minneapolis (MN),USA,in use,concrete,Minneapolis,MN,Minnesota,46.3,7.9
145,Cedar Creek Bridge,1927,Elgin (KS),USA,completed,concrete,Elgin,KS,Kansas,55.5,13.1
146,Cedar Creek Bridge,1928,Valley Falls (KS),USA,in use,concrete,Valley Falls,KS,Kansas,54.3,12.4
147,Cedarvale Bridge,1930,Cedarvale (KS),USA,in use,concrete,Cedarvale,KS,Kansas,54.3,12.4
148,Center Road Bridge,1925,Conneaut (OH),USA,in use,concrete,Conneaut,OH,Ohio,50.7,10.4
149,Center Street Bridge,1913,Castro Valley (CA),USA,in use,concrete,Castro Valley,CA,California,59.4,15.2
150,Cesar Chavez Avenue Bridge,1926,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
151,Chasm Bridge,1937,Neahkahnie Beach (OR),USA,in use,concrete,Neahkahnie Beach,OR,Oregon,48.4,9.1
152,Cheesequake Creek Bridge,1943,Sayreville (NJ),USA,in use,concrete,Sayreville,NJ,New Jersey,52.7,11.5
153,Chehalis River Bridge,1931,Pe Ell (WA),USA,in use,concrete,Pe Ell,WA,Washington,48.3,9.1
154,Chelan River Bridge,1922,Chelan County (WA),USA,out of service,concrete,Chelan County,WA,Washington,49.9,9.9
155,Chetco River Bridge,1972,Brookings (OR),USA,in use,concrete,Brookings,OR,Oregon,48.4,9.1
156,Chittenden Bridge,1903,Park County (WY),USA,demolished,concrete,Park County,WY,Wyoming,42.0,5.6
157,Chittenden Memorial Bridge,1962,Park County (WY),USA,in use,concrete,Park County,WY,Wyoming,42.0,5.6
158,Clarence L. Hussey Memorial Bridge,1925,North Kingstown (RI),USA,in use,concrete,North Kingstown,RI,Rhode Island,50.1,10.1
159,Clearwater Memorial Causeway,2005,Clearwater (FL),USA,in use,concrete,Clearwater,FL,Florida,72.6,22.6
160,Cleft-Ridge Span,1872,New York (NY),USA,in use,concrete,New York,NY,New York,55.5,13.1
161,Clifton Avenue Bridge,2002,Baltimore (MD),USA,in use,concrete,Baltimore,MD,Maryland,55.1,12.8
162,Cline Avenue Bridge,2020,East Chicago (IN),USA,in use,concrete,East Chicago,IN,Indiana,51.7,10.9
163,Cochrane-Africatown USA Bridge,1991,Mobile (AL),USA,in use,concrete,Mobile,AL,Alabama,67.2,19.6
164,Coffeyville Bridge,1926,Coffeyville (KS),USA,in use,concrete,Coffeyville,KS,Kansas,58.1,14.5
165,Colfax Avenue Viaduct,1984,Denver (CO),USA,in use,concrete,Denver,CO,Colorado,50.2,10.1
166,Colorado River Bridge (US 191),2010,Moab (UT),USA,in use,concrete,Moab,UT,Utah,52.0,11.1
167,Colorado Street Bridge,1913,Pasadena (CA),USA,in use,concrete,Pasadena,CA,California,63.9,17.7
168,Commerce Street Bridge,1915,San Antonio (TX),USA,in use,concrete,San Antonio,TX,Texas,69.1,20.6
169,Commercial Street Bridge,1905,Trinidad (CO),USA,demolished,concrete,Trinidad,CO,Colorado,51.9,11.1
170,Como Park Footbridge,1904,Saint Paul (MN),USA,in use,concrete,Saint Paul,MN,Minnesota,47.1,8.4
171,Conde B. McCullough Memorial Bridge,1936,North Bend (OR),USA,in use,concrete,North Bend,OR,Oregon,52.0,11.1
172,Conroe Bridge,1925,Geary County (KS),USA,in use,concrete,Geary County,KS,Kansas,54.3,12.4
173,Cotter Bridge,1930,Cotter (AR),USA,in use,concrete,Cotter,AR,Arkansas,60.4,15.8
174,Cowen Park Bridge,1936,Seattle (WA),USA,in use,concrete,Seattle,WA,Washington,52.6,11.4
175,Cowlitz River Bridge,1968,Mossyrock (WA),USA,in use,concrete,Mossyrock,WA,Washington,48.3,9.1
176,Creamery Bridge,1930,Osawatomie (KS),USA,in use,concrete,Osawatomie,KS,Kansas,56.1,13.4
177,Crooked River Bridge,2000,Jefferson County (OR),USA,in use,concrete,Jefferson County,OR,Oregon,48.4,9.1
178,Cross Bay Veterans Memorial Bridge,1970,New York (NY),USA,in use,concrete,New York,NY,New York,55.5,13.1
179,Cross Canyon Bridge,1992,Portland (OR),USA,in use,concrete,Portland,OR,Oregon,54.5,12.5
180,Crown Point Viaduct,1914,Multnomah County (OR),USA,in use,concrete,Multnomah County,OR,Oregon,48.4,9.1
181,Crystal Springs Road Bridge,1901,San Mateo (CA),USA,in use,concrete,San Mateo,CA,California,57.3,14.1
182,CSX Grand River Bridge,1908,Painesville (OH),USA,in use,concrete,Painesville,OH,Ohio,50.7,10.4
183,Cummins Creek Bridge,1931,Lane County (OR),USA,in use,concrete,Lane County,OR,Oregon,48.4,9.1
184,Cypress Street Viaduct,1957,Oakland (CA),USA,collapsed,concrete,Oakland,CA,California,59.4,15.2
185,Dallas-Oak Cliff Viaduct,1912,Dallas (TX),USA,in use,concrete,Dallas,TX,Texas,66.3,19.1
186,Dames Point Bridge,1989,Jacksonville (FL),USA,in use,concrete,Jacksonville,FL,Florida,68.6,20.3
187,Dauphin Island Bridge,1982,Mobile (AL),USA,in use,concrete,Mobile,AL,Alabama,67.2,19.6
188,Deadwood Creek Bridge,1937,Pierce County (WA),USA,demolished,concrete,Pierce County,WA,Washington,48.3,9.1
189,Deering Bridge,1916,Sutton (NE),USA,in use,concrete,Sutton,NE,Nebraska,48.8,9.3
190,Delaware River Viaduct,1911,Portland (PA),USA,out of service,concrete,Portland,PA,Pennsylvania,48.8,9.3
191,Dell Avenue Carroll Canal Bridge,1907,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
192,Dell Avenue Howland Canal Bridge,1907,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
193,Dell Avenue Linnie Canal Bridge,1907,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
194,Dell Avenue Sherman Canal Bridge,1907,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
195,Depoe Bay Bridge,1927,Lincoln County (OR),USA,in use,concrete,Lincoln County,OR,Oregon,48.4,9.1
196,Depot Street Bridge,2006,Rogue River (OR),USA,in use,concrete,Rogue River,OR,Oregon,48.4,9.1
197,Derby-Shelton Bridge,1918,Derby (CT),USA,in use,concrete,Derby,CT,Connecticut,49.0,9.4
198,Des Plaines River Valley Bridge,2007,Bolingbrook (IL),USA,in use,concrete,Bolingbrook,IL,Illinois,51.8,11.0
199,Dewlen-Spohnhauer Bridge,1926,Independence (KS),USA,in use,concrete,Independence,KS,Kansas,57.7,14.3
200,Discovery Bridge,1992,Columbus (OH),USA,in use,concrete,Columbus,OH,Ohio,53.4,11.9
201,Dodge Street Overpass,1934,Omaha (NE),USA,in use,concrete,Omaha,NE,Nebraska,51.1,10.6
202,Dry Canyon Creek Bridge,1921,Wasco County (OR),USA,in use,concrete,Wasco County,OR,Oregon,50.6,10.3
203,Dry Slough Bridge,1913,Yolo County (CA),USA,in use,concrete,Yolo County,CA,California,53.0,11.7
204,Duckabush River Bridge,1934,Brinnon (WA),USA,in use,concrete,Brinnon,WA,Washington,48.3,9.1
205,Dumbarton Bridge,1982,Menlo Park (CA),USA,in use,concrete,Menlo Park,CA,California,59.4,15.2
206,Dundee Road Bridge,1932,Wheeling (IL),USA,in use,concrete,Wheeling,IL,Illinois,49.6,9.8
207,East 12th Street Bridge,1931,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
208,East 21st Street Bridge,1997,Tacoma (WA),USA,in use,concrete,Tacoma,WA,Washington,53.5,11.9
209,East 34th Street Bridge,1937,Tacoma (WA),USA,in use,concrete,Tacoma,WA,Washington,53.5,11.9
210,East Branch Hudson River Bridge,1916,Fort Edward (NY),USA,in use,concrete,Fort Edward,NY,New York,45.4,7.4
211,East Huntington Bridge,1985,Huntington (WV),USA,in use,concrete,Huntington,WV,West Virginia,55.3,12.9
212,East Michigan Avenue Bridge,1923,Galesburg (MI),USA,demolished,concrete,Galesburg,MI,Michigan,44.4,6.9
213,East Park Dam,1910,Colusa County (CA),USA,in use,concrete,Colusa County,CA,California,61.3,16.3
214,East Verdi Bridge,1938,Verdi (NV),USA,in use,concrete,Verdi,NV,Nevada,49.9,9.9
215,Eastern Valley Road Bridge,1930,Tuscaloosa County (AL),USA,in use,concrete,Tuscaloosa County,AL,Alabama,64.0,17.8
216,Eastgate Mall Bridge,1971,San Diego (CA),USA,in use,concrete,San Diego,CA,California,63.6,17.6
217,Eastwood Park Bridge,1927,Minot (ND),USA,in use,concrete,Minot,ND,North Dakota,42.1,5.6
218,Ed Hendler Bridge,1978,Pasco (WA),USA,in use,concrete,Pasco,WA,Washington,53.2,11.8
219,Eden Park Bridge,1895,Cincinnati (OH),USA,in use,concrete,Cincinnati,OH,Ohio,54.6,12.6
220,Elberon Avenue Bridge,1936,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
221,Eliot Bridge,1950,- Boston (MA),USA,in use,concrete,Boston,MA,Massachusetts,51.3,10.7
222,Elkahatchee Creek Bridge,1931,Tallapoosa County (AL),USA,in use,concrete,Tallapoosa County,AL,Alabama,62.8,17.1
223,Elwha River Bridge,2009,Clallam County (WA),USA,in use,concrete,Clallam County,WA,Washington,48.3,9.1
224,Ernest F. Lyons Bridge,2007,Stuart (FL),USA,in use,concrete,Stuart,FL,Florida,70.7,21.5
225,Evans Crary Sr. Bridge,2001,Stuart (FL),USA,in use,concrete,Stuart,FL,Florida,70.7,21.5
226,Fairmount Avenue Bridge,2003,Jamestown (NY),USA,in use,concrete,Jamestown,NY,New York,48.0,8.9
227,Fern Bridge,1911,Ferndale (CA),USA,in use,concrete,Ferndale,CA,California,46.0,7.8
228,Fern Canyon Bridge,1931,Los Angeles County (CA),USA,in use,concrete,Los Angeles County,CA,California,59.4,15.2
229,Fern Dell Drive Bridge,1923,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
230,Fiddletown Road Bridge,1930,Fiddletown (CA),USA,in use,concrete,Fiddletown,CA,California,46.0,7.8
231,Fifth Street Bridge,2008,Atlanta (GA),USA,in use,concrete,Atlanta,GA,Georgia,62.6,17.0
232,First Avenue Bridge,1920,Cedar Rapids (IA),USA,in use,concrete,Cedar Rapids,IA,Iowa,48.2,9.0
233,First Street Bridge (Napa River),1915,Napa (CA),USA,demolished,concrete,Napa,CA,California,56.7,13.7
234,First Street Los Angeles River Bridge,1929,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
235,Fisherman Inlet Bridge,1965,Northampton County (VA),USA,in use,concrete,Northampton County,VA,Virginia,55.1,12.8
236,FIU-Sweetwater Pedestrian Bridge,2018,Miami (FL),USA,collapsed,concrete,Miami,FL,Florida,77.2,25.1
237,Foothill Boulevard Pacoima Wash Bridge,1923,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
238,Fort Morgan Bridge,1923,Fort Morgan (CO),USA,in use,concrete,Fort Morgan,CO,Colorado,48.8,9.3
